ID,N,E,C
216,invadere,invade,invaderer - invaderte - har invadert
217,invitere,invite,inviterer - inviterte - har invitert
218,jogge,jog,jogger - jogget - har jogget
219,jukse,"cheat, fiddle",jukser - jukset - har jukset
220,kalkulere,calculate,kalkulerer - kalkulerte - har kalkulert
221,kaste,throw,kaster - kastet - har kastet
222,kikke,"glance, look, peep",kikker-kikket-har kikket
223,kjede,bore,kjeder - kjedet - har kjedet
224,kjempe,"fight, struggle",kjemper - kjempet - har kjempet
225,kjenne,"know (smb/smth), feel",kjenner - kjente - har kjent
226,kjøpe,buy,kjøper - kjøpte - har kjøpt
227,kjøre,drive,kjører - kjørte - har kjørt
228,klappe,clap,klapper - klappet - har klappet
229,klare,manage,klarer - klarte - har klart
230,klatre,climb,klatrer - klatret - har klatret
231,kle,dress,kler - kledde - har kledd
232,klinge,"sound, ring",klinger - klang - har klinget
233,klippe,cut,klipper - klipte - har klipt
234,klype,pinch,klyper - kløp - har kløpet
235,klyve,climb,klyver - kløv - har kløvet
236,knekke,"crack, snap",knekker - knakk - har knekt (knekket)
237,knipe,pinch; catch; press,kniper - knep (kneip) - har knepet
238,knuse,"crush, smash",knuser - knuste - har knust
239,knyte,tie,"knyter - knytte (knytet, knøt) - har knytt"
240,koble,"couple, connect",kobler - koblet - har koblet
241,kødde,fool around,kødder - køddet - har køddet
242,koke,cook; boil,koker - kokte - har kokt
243,komme,come,kommer - kom - har kommet
244,kondolere,express sympathy,kondolerer - kondolerte - har kondolert
245,kontaktere,contact,kontakterer - kontakterte - har kontaktert
246,kontrollere,control,kontrollerer - kontrollerte - kontrollert
247,kopiere,copy,kopierer - kopierte - har kopiert
248,korrigere,correct,korrigerer - korrigerte - har korrigert
249,kose seg,enjoy yourself,koser - koste - har kost
250,koste,cost; sweep,koster - kostet - har kostet
251,krangle,quarrel,krangler - kranglet - har kranglet
252,kroke,bend,kroker - kroket - har kroket
253,krype,"creep, crawl",kryper - krøp - har krøpet
254,kunne,can,kan - kunne - har kunnet
255,kutte,cut ,kutter - kuttet - har kuttet
256,kutte,cut,kutter - kuttet - har kuttet
257,kvele,"choke, strangle",kveler - kvalte - har kvalt
258,kverne,turn around; grind,kverner - kvernet - har kvernet
259,la,let ,lar - lot - har latt
260,lære,teach; learn,lærer - lærte - har lært
261,lage,make; produce,lager - laget - har laget
262,låne,borrow,låner - lånte - har lånt
263,låse,lock,låser - låste - har låst
264,late,"seem, appear; idle, laze",later - lot - har latt
265,låte,"sound, ring",låter - låt - har lått
266,le,laugh,ler - lo - har ledd
267,legge,"put, lay",legger - la - har lagt
268,legge merke,realize,legger - la - har lagt
269,leie,rent; hire,leier - leide - har leid
270,leke,play (with smth),leker - lekte - har lekt
271,lengte,long (for),lengter - lengtet - har lengtet
272,lese,read,leser - leste - har lest
273,lete,"look, search",leter - lette - har lett
274,leve,live (be alive),lever - levde - har levd
275,levere,"hand over, give up; deliver",leverer - leverte - har levert
276,lide,suffer,lider - led - har lidd
277,ligge,lie,ligger - lå - har ligget
278,ligne,resemble,ligner - lignet - har lignet
279,like,like,liker - likte - har likt
280,løfte,"lift, raise",løfter - løftet - har løftet
281,lokke,lure,lokker - lokket - har lokket
282,løpe,run,løper - løp - har løpt
283,løse,solve,løser - løste - har løst
284,love,praise; promise,lover - lovet - har lovet
285,lufte,air,lufter - luftet - har luftet
286,lukte,smell,lukter - luktet - har luktet
287,lure,deceive,lurer - lurte - har lurt
288,lyde,sound,lyder - lød - har lydt
289,lyge,tell a lie,lyger - løy - har løyet
290,lytte,listen,lytter - lyttet - har lyttet
291,lyve,tell a lie,lyver - løy - har løyet
292,målbinde,silence,målbinder - målbandt - har målbundet
293,måle,measure,måler - målte - har målt
294,mase,"bother, pester; crush",maser - maste - har mast
295,måtte,must,må - måtte - har måttet
296,melde,"report, notify",melder - meldte - har meldt
297,merke,"mark, label",merker - merket - har merket
298,minke,"decrease, shrink",minker - minket - har minket
299,miste,"lose; miss, be late",mister - mistet - har mistet
300,mistenke,suspect,mistenker - mistenkte - har mistenkt
301,møte,"meet, run across",møter - møtte - har møtt
302,motta,accept; receive,mottar - mottok - har mottatt
303,nærme,bring near,nærmer - nærmet - har nærmet
304,nekte,"deny, refuse",nekter - nektet - har nektet
305,nikke,nod,nikker - nikket - har nikket
306,nøle,hesitate,nøler - nølte - har nølt
307,nyse,sneeze,nyser - nøs - har nyst
308,nyte,enjoy; consume,nyter - nøt (nøyt) - har nytt
